a,b,c
-90,66,-20
-33,15,-49
81,44,-50
-61,42,90
-6,18,74
-29,71,54
0,-12,22
-46,-82,-41
100,-7,-71
-89,-11,-61
-74,73,95
-83,7,-12
-6,76,66
-38,51,-49
-99,29,27
-54,69,30
-62,88,-14
-97,39,19
80,31,47
23,6,73
87,-100,25
96,-45,65
44,18,36
-79,-2,30
27,-74,67
-30,22,97
50,51,83
97,-44,50
-56,56,-17
-36,-47,-71
82,-59,-56
28,46,22
43,52,38
-91,-21,-31
-94,76,-52
-82,-59,-100
57,16,27
88,-89,12
-3,-45,-63
68,90,-60
25,46,4
-7,27,93
-82,57,-87
80,43,47
70,-19,-7
77,9,-60
23,66,50
87,-84,97
-76,2,-76
16,-29,-13
38,74,36
47,97,-85
-64,-43,-18
23,-30,6
-21,-10,-16
76,55,-46
7,-98,-94
-72,5,-76
-84,99,26
-34,-54,-84
70,-75,-5
13,-3,17
-64,21,-76
-49,29,-87
-58,-12,38
72,-10,82
35,-30,88
63,70,-52
48,-11,-7
21,-17,59
-26,-18,-67
-43,68,-91
-14,45,85
-82,41,-96
-7,-25,-51
14,13,-42
-22,-94,-36
-31,-28,-4
-14,-23,58
91,-94,48
-14,61,-48
60,-44,30
-65,58,-21
76,-65,24
-65,86,61
0,-77,14
44,-69,85
30,77,91
22,48,-15
-71,-78,95
37,-44,-53
-99,-82,49
-13,-88,-86
99,6,46
-57,-91,-96
-97,-21,-71
-79,95,-65
9,56,-43
85,-82,59
18,65,72
-33,-84,-35
-97,3,-6
43,72,96
45,98,-53
3,96,9
48,-15,-18
89,31,99
69,44,34
17,-99,-99
-94,25,-7
-52,46,63
-51,-45,6
89,45,-21
89,-22,20
-67,52,-86
-40,79,21
71,3,-58
-67,62,-67
93,-5,-17
4,69,-25
-56,13,43
94,42,-62
-22,-58,-96
7,61,-12
-82,24,76
87,44,-62
43,-51,65
-77,-69,-49
37,6,74
87,39,44
-97,-34,-82
17,47,28
-47,-92,-57
97,-34,80
33,20,82
-54,-64,-69
-85,-89,21
-29,-11,-65
-37,81,33
-76,99,78
-61,95,28
98,79,59
32,14,-77
-49,-4,68
-44,-42,-17
-61,-56,-49
-64,92,-23
66,-90,8
1,56,13
-16,44,-44
-97,76,-40
-25,-29,-65
-14,26,58
16,22,-94
53,8,80
94,-15,-24
48,60,-98
-66,54,49
-94,-40,76
62,15,55
-8,74,-19
-37,-7,-67
-13,-37,83
79,71,-83
13,2,16
-71,-40,-66
91,-12,-22
95,-76,-89
-80,24,71
-53,91,88
57,-15,46
-36,89,-87
79,55,-55
68,96,-47
82,-4,14
30,64,-92
16,-3,21
-22,-66,9
-53,9,40
67,-50,-62
13,60,-27
24,-18,6
-55,-44,-35
88,-29,-19
-41,-70,57
7,-12,91
-50,10,73
85,-16,-70
-74,-71,0
-79,-60,54
60,-43,-99
-43,1,42
-57,72,5
42,-84,42
66,54,-99
99,37,-1
41,10,-15
24,39,56
-87,33,90
-72,64,-90
82,68,-80
-38,54,84
-79,-27,-77
12,89,42
-12,-50,-73
41,61,-50
59,-6,79
85,-9,-28
-31,-45,50
6,93,-26
13,-63,-89
97,55,16
-5,63,34
-5,-77,51
60,-84,28
-68,-45,100
-93,66,17
-27,24,55
35,2,-79
95,79,51
-44,100,-6
-83,-78,63
-62,50,-67
93,72,-96
-21,22,-28
-53,-78,-48
89,57,-85
30,-19,-2
74,-97,95
88,44,31
10,8,43
62,61,17
65,-22,100
-7,-21,-71
18,-54,99
-45,73,18
94,-85,-58
-5,89,87
59,-7,31
-47,-37,-73
3,57,41
7,-94,-69
-37,15,73
-3,61,42
-53,40,96
94,33,11
57,-11,49
98,-69,-13
-82,21,0
78,16,43
-21,97,95
31,-8,-42
-70,78,19
-24,-82,98
25,42,-76
-57,-71,51
-94,13,-64
58,-83,-70
-58,42,95
-14,8,39
-43,-4,-97
-65,2,35
64,62,6
-56,-31,-47
30,72,-7
-63,-1,-83
-29,-83,25
86,-25,-98
-62,-31,19
25,21,99
-89,83,-60
77,52,-67
-15,-13,7
-3,61,4
-12,94,-67
-21,-57,-96
18,-55,-43
-24,-44,-91
5,94,44
-88,-4,48
-96,26,-40
52,-48,-70
-79,39,-60
75,-58,69
-76,-63,-36
53,36,-84
-27,7,-67
-65,-67,29
-16,18,45
-93,48,37
10,-65,-37
-21,-84,67
33,-79,-56
46,-81,-1
-73,-75,4
57,-1,-52
16,-5,-24
3,74,-95
10,-3,54
81,-56,-4
