a,b,c
38,-20,77
-33,74,17
-64,-61,49
-97,42,-19
-63,-78,91
27,-73,-93
29,-90,7
-79,87,90
-98,19,-75
-51,-46,-10
58,44,-14
97,-75,69
79,-97,-44
98,-68,25
-22,-20,75
4,-6,90
-7,-19,18
73,34,76
-60,97,4
-94,-95,87
-48,-73,26
52,11,53
7,52,31
-45,64,10
27,-36,14
48,-14,65
-54,-8,10
39,-16,94
61,-29,-9
19,48,76
20,16,-17
75,43,13
35,-32,-33
34,-17,58
57,-26,-94
85,-84,16
-36,-17,63
2,-100,-46
-93,39,44
32,25,15
97,87,-52
63,5,-7
74,89,84
-6,-30,-63
-25,-45,43
-92,-89,-66
24,87,56
26,5,-82
-25,-52,-10
44,-29,-16
-86,-73,-77
93,-2,-34
41,-35,-37
94,-36,-62
-96,100,76
36,44,-46
64,16,-75
57,81,-38
63,-88,-77
-14,-13,30
35,-26,3
-64,-79,-41
-56,-13,9
-12,-6,-82
61,-69,-14
77,74,50
-34,-8,-59
78,-61,-63
98,-40,15
94,7,-71
-93,13,85
67,-54,56
-8,76,-68
-31,-60,-48
11,36,-79
-26,87,-73
-64,84,-52
-80,57,52
95,-22,-77
29,37,80
-82,8,19
-10,84,-14
-50,-75,-88
-97,13,15
-29,25,-23
-53,-52,-48
32,52,60
69,37,-11
53,48,29
65,-23,-43
-1,65,62
25,67,-61
-37,-59,-19
-89,-46,-92
-87,76,91
-69,-91,-61
-65,-38,22
-74,41,-24
-91,-54,24
21,-44,-59
79,-37,0
-28,84,-57
56,-89,3
44,-9,-47
-99,-84,2
80,-43,-24
-65,48,-48
33,68,-34
-48,20,21
-83,17,-88
69,58,37
-76,78,40
36,-95,0
59,-56,45
85,-51,1
61,-59,-11
-56,-54,40
35,-25,68
11,57,51
84,53,6
-83,-1,77
-24,-47,-73
60,36,-6
-78,19,-43
-79,47,-14
28,45,68
-95,24,90
-52,-75,67
47,-68,51
37,29,100
-48,-74,-87
-13,31,28
-48,-60,-46
34,20,0
19,52,57
-42,98,-3
64,42,-73
-70,32,-42
-51,100,-36
-5,62,63
-54,-49,44
28,-32,-87
-61,95,98
-46,12,-40
-40,45,93
2,42,-75
61,-19,100
-63,12,44
40,96,-52
18,-48,46
25,46,-69
-34,95,74
-60,92,98
72,-85,23
87,-48,15
-67,-82,17
-5,40,-17
-36,-36,-47
69,-39,43
-61,93,-48
81,43,-32
-80,60,62
92,-56,83
-77,54,-37
23,-92,73
-70,-73,47
-65,-26,7
-37,-84,100
-75,-23,50
95,41,-94
-45,-9,83
42,82,-39
-100,-27,96
92,18,-100
-27,-77,-58
35,100,23
-48,-83,51
11,75,-26
94,5,-69
-25,42,-60
76,-87,-33
-63,-75,25
-33,75,-20
-41,-41,-39
45,17,-58
-67,48,30
84,-15,-84
18,-14,-99
56,-84,92
51,23,-27
69,-82,24
-84,65,11
-93,-50,-7
-41,-18,-83
5,6,-50
52,35,37
48,27,35
31,-22,-18
-73,-75,39
34,-27,28
68,91,-89
-96,-60,93
-18,-15,69
86,47,91
49,-22,88
46,-5,85
68,-32,-88
-14,-80,-56
49,77,-99
-55,-86,-83
42,-83,-18
78,-62,49
-66,84,-19
-17,-10,-28
32,8,-32
-50,-9,99
-82,-55,100
-11,56,-3
-33,-93,-85
-17,20,-5
-34,92,-61
-2,-98,-83
5,-33,52
-62,-88,33
77,64,-4
3,19,-55
-43,60,49
-59,-26,-48
-100,-14,-92
33,-57,-1
-15,6,-78
-98,-17,86
-92,-87,-37
43,-85,-95
45,-56,-72
-40,-45,-38
91,7,-61
-19,71,-65
-35,95,-32
30,-81,2
6,76,62
-13,-88,32
31,-56,-92
18,6,-5
-63,-79,-99
-20,72,14
45,-19,-35
-53,-9,81
-81,-78,98
-65,74,92
-51,-83,60
-2,2,24
-58,3,-2
-7,-71,94
11,-84,-76
14,80,1
24,41,-29
12,-98,-90
-9,-60,-48
97,70,-100
19,-38,55
-51,32,-59
93,-84,60
3,59,-32
-76,-12,83
-19,39,-16
93,84,-43
58,-43,-21
20,-6,20
-42,16,13
-72,-56,8
-46,26,72
11,-85,87
10,-56,99
-21,6,33
-38,17,-67
-88,58,-48
-49,-83,34
39,93,-30
88,-47,-93
26,1,6
-8,-41,-41
-89,64,36
78,-45,13
67,52,51
11,37,13
93,-38,6
59,-60,-42
46,53,69
-77,79,71
-70,-27,56
-30,-8,-4
-56,1,71
-23,-61,-89
-89,55,84
59,-89,12
46,13,-59
-11,-47,82
70,49,-46
53,75,-8
-57,77,-5
-87,59,-100
10,66,-30
-30,-96,-1
-73,-24,92
-71,-11,-96
4,52,36
79,-62,-87
25,-2,12
45,-95,19
51,100,17
-92,34,-38
-39,8,-55
97,-7,35
-8,52,-35
84,79,-63
62,-57,-54
-61,46,-4
-80,-73,67
57,-8,96
-59,-93,10
20,-66,-88
-92,1,99
82,-90,47
-39,-81,-22
-59,-93,-56
-31,100,45
-80,-5,8
20,-87,75
-91,-52,-37
-58,-50,17
-34,-61,-2
-16,64,-21
64,41,14
-98,22,-25
-78,4,76
84,31,-99
39,-8,-90
63,3,-12
-1,-89,-73
31,90,-32
72,-21,48
-22,-2,44
-65,66,-35
58,13,-45
40,-84,58
-22,-49,-90
32,34,16
22,-96,67
61,81,-21
-16,-78,-77
-86,65,27
93,-27,-55
-59,-42,47
-14,-94,-35
-49,-3,-36
-62,58,-16
-15,-60,-72
-58,-15,-57
13,-82,15
-68,87,-80
-78,-60,-27
-47,27,7
-33,0,47
-30,-18,7
95,-2,-3
37,8,30
-90,-70,58
81,-87,-53
-80,-88,-60
54,-91,-41
88,75,48
-51,-41,10
81,46,65
-30,78,-86
74,10,97
53,84,48
-1,-6,-48
-69,-1,34
44,8,51
-78,62,-59
-8,94,-48
6,77,69
10,23,-69
-50,91,-71
-27,-91,6
